方案,架次编号,航段序号,起点,起点经度_度,起点纬度_度,起点作业海拔_m,终点,终点经度_度,终点纬度_度,终点作业海拔_m,水平距离_m,航段DEM最高海拔_m,计划巡航海拔_m,起点爬升_m,终点下降_m,航段载重_kg,航段能耗_kWh,航段飞行时间_s,起飞时刻_s,到达时刻_s
均衡,T01,1,O01,109.2308517,23.0085095,128.7255401611328,S007,109.1928191,23.0294186,344.2220458984375,4534.461,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,22.0,1.11141,571.352,360.0,931.352
均衡,T01,2,S007,109.1928191,23.0294186,344.2220458984375,O01,109.2308517,23.0085095,128.7255401611328,4534.461,461.9731750488281,511.9731750488281,163.47317504882812,384.27317504882814,0.0,0.859512,586.072,1141.352,1727.424
均衡,T02,1,O01,109.2308517,23.0085095,128.7255401611328,S010,109.2760168,23.0194009,351.5816650390625,4784.495,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,25.0,1.119023,455.226,390.0,845.226
均衡,T02,2,S010,109.2760168,23.0194009,351.5816650390625,O01,109.2308517,23.0085095,128.7255401611328,4784.495,385.63653564453125,435.63653564453125,84.03653564453123,307.93653564453126,0.0,0.704173,470.153,1085.226,1555.38
均衡,T03,1,O01,109.2308517,23.0085095,128.7255401611328,S013,109.2713839,23.0310882,351.70806884765625,4849.242,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876,25.0,1.12033,432.769,390.0,822.769
均衡,T03,2,S013,109.2713839,23.0310882,351.70806884765625,O01,109.2308517,23.0085095,128.7255401611328,4849.242,349.18182373046875,399.18182373046875,47.48182373046876,271.48182373046876,0.0,0.70443,447.703,1062.769,1510.472
均衡,T04,1,O01,109.2308517,23.0085095,128.7255401611328,S002,109.2585519,23.0703271,218.7942352294922,7411.31,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,20.0,1.618571,713.809,390.0,1103.809
均衡,T04,2,S002,109.2585519,23.0703271,218.7942352294922,S012,109.2831357,23.054464,283.31507873535156,3071.276,358.1782531738281,408.1782531738281,188.67825317382812,128.3782531738281,3.0,0.609593,370.184,1313.809,1683.993
均衡,T04,3,S012,109.2831357,23.054464,283.31507873535156,O01,109.2308517,23.0085095,128.7255401611328,7390.492,363.3009948730469,413.3009948730469,133.50099487304686,285.6009948730469,0.0,1.365657,774.615,1863.993,2638.608
均衡,T05,1,O01,109.2308517,23.0085095,128.7255401611328,S006,109.1997836,23.007714,305.1272277832031,3186.208,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,59.0,1.604045,333.422,480.0,813.422
均衡,T05,2,S006,109.1997836,23.007714,305.1272277832031,O01,109.2308517,23.0085095,128.7255401611328,3186.208,316.09783935546875,366.09783935546875,51.29783935546874,238.39783935546876,0.0,0.993943,352.132,1209.422,1561.554
均衡,T06,1,O01,109.2308517,23.0085095,128.7255401611328,S014,109.2835966,23.0052097,350.9825134277344,5419.602,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125,25.0,1.306885,612.435,1900.472,2512.907
均衡,T06,2,S014,109.2835966,23.0052097,350.9825134277344,O01,109.2308517,23.0085095,128.7255401611328,5419.602,541.9473876953125,591.9473876953125,240.9473876953125,464.2473876953125,0.0,0.833504,627.322,2752.907,3380.229
均衡,T07,1,O01,109.2308517,23.0085095,128.7255401611328,S008,109.2127472,23.0795113,278.2891845703125,8079.033,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065,25.0,1.795974,661.142,1945.38,2606.522
均衡,T07,2,S008,109.2127472,23.0795113,278.2891845703125,O01,109.2308517,23.0085095,128.7255401611328,8079.033,322.9093322753906,372.9093322753906,102.00933227539065,245.20933227539064,0.0,1.179243,670.689,2846.522,3517.211
均衡,T08,1,O01,109.2308517,23.0085095,128.7255401611328,S001,109.2432319,23.0335927,183.96136474609375,3053.979,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,78.0,2.032523,306.27,540.0,846.27
均衡,T08,2,S001,109.2432319,23.0335927,183.96136474609375,O01,109.2308517,23.0085095,128.7255401611328,3053.979,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,0.0,0.963246,311.9,1314.27,1626.169
均衡,T09,1,O01,109.2308517,23.0085095,128.7255401611328,S015,109.1923786,23.0494548,466.229248046875,6009.383,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375,25.0,1.425033,587.578,3770.229,4357.807
均衡,T09,2,S015,109.1923786,23.0494548,466.229248046875,O01,109.2308517,23.0085095,128.7255401611328,6009.383,521.7992553710938,571.7992553710938,97.29925537109375,444.09925537109376,0.0,0.88242,610.698,4597.807,5208.505
均衡,T10,1,O01,109.2308517,23.0085095,128.7255401611328,S001,109.2432319,23.0335927,183.96136474609375,3053.979,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,76.0,1.954336,306.27,2071.554,2377.823
均衡,T10,2,S001,109.2432319,23.0335927,183.96136474609375,O01,109.2308517,23.0085095,128.7255401611328,3053.979,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,0.0,0.963246,311.9,2809.823,3121.723
均衡,T11,1,O01,109.2308517,23.0085095,128.7255401611328,S008,109.2127472,23.0795113,278.2891845703125,8079.033,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065,20.0,1.584199,661.142,3877.211,4538.353
均衡,T11,2,S008,109.2127472,23.0795113,278.2891845703125,O01,109.2308517,23.0085095,128.7255401611328,8079.033,322.9093322753906,372.9093322753906,102.00933227539065,245.20933227539064,0.0,1.179243,670.689,4748.353,5419.042
均衡,T12,1,O01,109.2308517,23.0085095,128.7255401611328,S012,109.2831357,23.054464,283.31507873535156,7390.492,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,22.0,1.6928,764.475,360.0,1124.475
均衡,T12,2,S012,109.2831357,23.054464,283.31507873535156,O01,109.2308517,23.0085095,128.7255401611328,7390.492,363.3009948730469,413.3009948730469,133.50099487304686,285.6009948730469,0.0,1.365657,774.615,1334.475,2109.09
均衡,T13,1,O01,109.2308517,23.0085095,128.7255401611328,S003,109.1688578,23.0402714,338.51068115234375,7263.179,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,22.0,1.71706,839.288,360.0,1199.288
均衡,T13,2,S003,109.1688578,23.0402714,338.51068115234375,O01,109.2308517,23.0085095,128.7255401611328,7263.179,511.80413818359375,561.8041381835938,223.30413818359375,434.10413818359376,0.0,1.366532,853.341,1409.288,2262.629
均衡,T14,1,O01,109.2308517,23.0085095,128.7255401611328,S002,109.2585519,23.0703271,218.7942352294922,7411.31,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,64.0,3.801587,611.316,2106.169,2717.485
