架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,总质量_kg,总体积_m3,货箱编号列表
T01,U01,A,A-B1,0.0,S001,1250.899502,1.282346,0.715034,2121.355027,22.0,0.055,"S001-FOD-03,S001-WAT-08"
T02,U02,A,A-B2,0.0,S007,1727.424085,1.905343,0.57659,2777.856509,17.0,0.039,"S007-WAT-01,S007-MED-01"
T03,U05,B,B-B1,0.0,S013,1510.472325,1.824759,0.54381,2967.86801,25.0,0.067,"S013-WAT-01,S013-MED-01,S013-FOD-01"
T04,U07,C,C-B1,0.0,S006,1561.553868,2.597988,0.675252,3098.508915,59.0,0.156,"S006-HYG-01,S006-WAT-01,S006-MED-01,S006-FOD-01,S006-WAT-03,S006-WAT-02"
T05,U08,C,C-B2,0.0,S001,1494.169077,2.664783,0.666902,3049.214511,68.0,0.178,"S001-WAT-05,S001-WAT-07,S001-HYG-02,S001-HYG-01,S001-WAT-04,S001-WAT-03"
T06,U03,A,A-B3,0.0,S001,1250.899502,1.282346,0.715034,2121.355027,22.0,0.055,"S001-WAT-02,S001-FOD-01"
T07,U08,C,C-B3,1494.169077,S002,3601.981462,6.105656,0.236793,6088.929928,64.0,0.17200000000000001,"S002-FOD-02,S002-WAT-03,S002-HYG-01,S002-WAT-01,S002-FOD-01,S002-WAT-04"
T08,U06,B,B-B2,0.0,S008,1901.831436,2.763441,0.30914,3765.989313,20.0,0.062,"S008-WAT-01,S008-HYG-01"
T09,U05,B,B-B3,1510.472325,S010,3065.851891,1.823196,0.544201,4522.570027,25.0,0.067,"S010-FOD-01,S010-MED-01,S010-WAT-01"
T10,U04,A,A-B4,0.0,S001,1310.899502,1.264346,0.719034,2176.15492,20.0,0.051000000000000004,"S001-WAT-06,S001-MED-01,S001-MED-02"
T11,U06,B,B-B4,1901.831436,S014,3771.587852,2.140388,0.464903,5365.756194,25.0,0.067,"S014-MED-01,S014-WAT-01,S014-FOD-01"
T12,U07,C,C-B4,1561.553868,S003,3997.645217,6.149478,0.231315,6496.462188,64.0,0.17200000000000001,"S003-HYG-01,S003-FOD-02,S003-WAT-02,S003-WAT-04,S003-FOD-01,S003-WAT-03"
T13,U01,A,A-B5,1250.899502,S002-S012,3889.507209,3.593821,0.201373,5427.722274,20.0,0.051000000000000004,"S002-WAT-02,S002-MED-01,S012-MED-01"
T14,U08,C,C-B1,3601.981462,S004,5903.038155,6.152932,0.230883,8402.790576,59.0,0.156,"S004-HYG-01,S004-MED-01,S004-WAT-01,S004-WAT-03,S004-FOD-01,S004-WAT-02"
T15,U07,C,C-B2,3997.645217,S005,5874.835742,4.222193,0.472226,7851.679641,59.0,0.156,"S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-MED-01,S005-HYG-01,S005-FOD-01"
T16,U03,A,A-B6,1250.899502,S007,2978.323587,1.970922,0.562017,4047.701167,22.0,0.055,"S007-WAT-02,S007-FOD-01"
T17,U05,B,B-B1,3065.851891,S009,4624.293624,2.096234,0.475942,6199.328242,25.0,0.067,"S009-FOD-01,S009-WAT-01,S009-MED-01"
T18,U02,A,A-B1,2121.355027,S001,3372.254529,1.282346,0.715034,4242.710054,22.0,0.055,"S001-WAT-01,S001-FOD-02"
T19,U04,A,A-B3,2121.355027,S012,4230.445101,3.058457,0.320343,5613.999464,22.0,0.055,"S012-FOD-01,S012-WAT-01"
T20,U06,B,B-B2,3771.587852,S008,5733.419288,2.975217,0.256196,7689.346449,25.0,0.067,"S008-WAT-02,S008-MED-01,S008-FOD-01"
T21,U03,A,A-B2,2978.323587,S003-S015,5581.656003,3.297219,0.267285,7034.185896,20.0,0.051000000000000004,"S003-WAT-01,S003-MED-01,S015-MED-01"
T22,U02,A,A-B4,3372.254529,S015,5340.843932,2.557694,0.431623,6579.733447,22.0,0.055,"S015-FOD-01,S015-WAT-01"
T23,U01,A,A-B6,4047.701167,S007,5715.125252,1.805902,0.598688,6736.830286,6.0,0.035,S007-HYG-01
T24,U05,B,B-B3,4624.293624,S011,5812.714096,1.073952,0.731512,6944.759861,25.0,0.067,"S011-FOD-01,S011-MED-01,S011-WAT-01"
