架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,总质量_kg,总体积_m3,货箱编号列表
T01,U01,A,A-B1,0.0,S007,1727.424085,1.970922,0.562017,2796.801665,22.0,0.055,"S007-WAT-02,S007-FOD-01"
T02,U07,C,C-B1,0.0,S006,1561.553868,2.597988,0.675252,3098.508915,59.0,0.156,"S006-MED-01,S006-HYG-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-WAT-01"
T03,U05,B,B-B1,0.0,S014,1869.756416,2.140388,0.464903,3463.924759,25.0,0.067,"S014-MED-01,S014-WAT-01,S014-FOD-01"
T04,U08,C,C-B2,0.0,S001,1560.169077,2.881077,0.639865,3173.794123,75.0,0.176,"S001-FOD-02,S001-WAT-02,S001-FOD-01,S001-WAT-03,S001-WAT-05,S001-MED-01,S001-WAT-06"
T05,U08,C,C-B3,1560.169077,S002,3667.981462,6.16187,0.229766,6170.15468,65.0,0.155,"S002-WAT-01,S002-WAT-04,S002-WAT-03,S002-HYG-01,S002-WAT-02,S002-MED-01"
T06,U07,C,C-B4,1561.553868,S001,3187.722945,3.037697,0.620288,4843.765772,79.0,0.218,"S001-WAT-01,S001-WAT-04,S001-WAT-08,S001-HYG-01,S001-WAT-07,S001-HYG-02,S001-FOD-03,S001-MED-02"
T07,U07,C,C-B1,3187.722945,S004,5488.779638,6.152932,0.230883,7988.53206,59.0,0.156,"S004-WAT-01,S004-HYG-01,S004-WAT-02,S004-FOD-01,S004-WAT-03,S004-MED-01"
T08,U06,B,B-B2,0.0,S010,1555.379566,1.823196,0.544201,3012.097702,25.0,0.067,"S010-MED-01,S010-WAT-01,S010-FOD-01"
T09,U06,B,B-B3,1555.379566,S012,3478.119917,2.752414,0.311896,5337.499446,25.0,0.067,"S012-FOD-01,S012-WAT-01,S012-MED-01"
T10,U05,B,B-B4,1869.756416,S013,3380.228741,1.824759,0.54381,4837.624426,25.0,0.067,"S013-MED-01,S013-FOD-01,S013-WAT-01"
T11,U05,B,B-B2,3380.228741,S003,5460.752045,2.779917,0.305021,7332.049614,25.0,0.067,"S003-WAT-01,S003-FOD-02,S003-MED-01"
T12,U08,C,C-B2,3667.981462,S011-S008,6360.374923,6.354783,0.205652,8914.795441,70.0,0.196,"S011-FOD-01,S011-WAT-01,S011-MED-01,S008-FOD-01,S008-WAT-01,S008-MED-01,S008-HYG-01,S008-WAT-02"
T13,U07,C,C-B4,5488.779638,S003-S007,8116.372056,6.059243,0.242595,10590.750278,62.0,0.179,"S003-WAT-02,S003-WAT-03,S003-WAT-04,S003-HYG-01,S003-FOD-01,S007-HYG-01"
T14,U02,A,A-B2,0.0,S007-S005,2490.42978,2.966237,0.340836,3847.342558,20.0,0.051000000000000004,"S007-MED-01,S007-WAT-01,S005-MED-01"
T15,U06,B,B-B1,3478.119917,S002,5234.814217,2.407235,0.398191,6944.616076,16.0,0.056,"S002-FOD-01,S002-FOD-02"
T16,U08,C,C-B3,6360.374923,S005,8171.565447,4.127461,0.484067,10122.752838,56.0,0.14400000000000002,"S005-WAT-02,S005-FOD-01,S005-WAT-03,S005-HYG-01,S005-WAT-01"
T17,U06,B,B-B4,5234.814217,S015,7063.090854,2.307453,0.423137,8729.653745,25.0,0.067,"S015-FOD-01,S015-WAT-01,S015-MED-01"
T18,U05,B,B-B3,5460.752045,S009,7019.193778,2.096234,0.475942,8594.228396,25.0,0.067,"S009-FOD-01,S009-WAT-01,S009-MED-01"
