货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,加权延误
S001-FOD-01,T04,S001,1248.269539,应急食品,7200.0,,0.0
S001-FOD-02,T04,S001,1248.269539,应急食品,7200.0,,0.0
S001-FOD-03,T06,S001,2875.823407,应急食品,7200.0,,0.0
S001-HYG-01,T06,S001,2875.823407,生活卫生用品,10800.0,,0.0
S001-HYG-02,T06,S001,2875.823407,生活卫生用品,10800.0,,0.0
S001-MED-01,T04,S001,1248.269539,医疗物资,3600.0,3600.0,0.0
S001-MED-02,T06,S001,2875.823407,医疗物资,3600.0,3600.0,0.0
S001-WAT-01,T06,S001,2875.823407,饮用水,3600.0,3600.0,0.0
S001-WAT-02,T04,S001,1248.269539,饮用水,3600.0,,0.0
S001-WAT-03,T04,S001,1248.269539,饮用水,3600.0,,0.0
S001-WAT-04,T06,S001,2875.823407,饮用水,3600.0,,0.0
S001-WAT-05,T04,S001,1248.269539,饮用水,3600.0,,0.0
S001-WAT-06,T04,S001,1248.269539,饮用水,3600.0,,0.0
S001-WAT-07,T06,S001,2875.823407,饮用水,3600.0,,0.0
S001-WAT-08,T06,S001,2875.823407,饮用水,3600.0,,0.0
S002-FOD-01,T15,S002,4638.407067,应急食品,7200.0,,0.0
S002-FOD-02,T15,S002,4638.407067,应急食品,7200.0,,0.0
S002-HYG-01,T05,S002,3047.48527,生活卫生用品,10800.0,,0.0
S002-MED-01,T05,S002,3047.48527,医疗物资,3600.0,3600.0,0.0
S002-WAT-01,T05,S002,3047.48527,饮用水,3600.0,3600.0,0.0
S002-WAT-02,T05,S002,3047.48527,饮用水,3600.0,,0.0
S002-WAT-03,T05,S002,3047.48527,饮用水,3600.0,,0.0
S002-WAT-04,T05,S002,3047.48527,饮用水,3600.0,,0.0
S003-FOD-01,T13,S003,7098.285313,应急食品,10800.0,,0.0
S003-FOD-02,T11,S003,4728.463726,应急食品,10800.0,,0.0
S003-HYG-01,T13,S003,7098.285313,生活卫生用品,14400.0,,0.0
S003-MED-01,T11,S003,4728.463726,医疗物资,7200.0,7200.0,0.0
S003-WAT-01,T11,S003,4728.463726,饮用水,7200.0,7200.0,0.0
S003-WAT-02,T13,S003,7098.285313,饮用水,7200.0,,0.0
S003-WAT-03,T13,S003,7098.285313,饮用水,7200.0,,0.0
S003-WAT-04,T13,S003,7098.285313,饮用水,7200.0,,0.0
S004-FOD-01,T07,S004,4771.221292,应急食品,10800.0,,0.0
S004-HYG-01,T07,S004,4771.221292,生活卫生用品,14400.0,,0.0
S004-MED-01,T07,S004,4771.221292,医疗物资,7200.0,7200.0,0.0
S004-WAT-01,T07,S004,4771.221292,饮用水,7200.0,7200.0,0.0
S004-WAT-02,T07,S004,4771.221292,饮用水,7200.0,,0.0
S004-WAT-03,T07,S004,4771.221292,饮用水,7200.0,,0.0
S005-FOD-01,T16,S005,7667.605185,应急食品,14400.0,,0.0
S005-HYG-01,T16,S005,7667.605185,生活卫生用品,18000.0,,0.0
S005-MED-01,T14,S005,1927.091217,医疗物资,10800.0,10800.0,0.0
S005-WAT-01,T16,S005,7667.605185,饮用水,10800.0,10800.0,0.0
S005-WAT-02,T16,S005,7667.605185,饮用水,10800.0,,0.0
S005-WAT-03,T16,S005,7667.605185,饮用水,10800.0,,0.0
S006-FOD-01,T02,S006,1209.421934,应急食品,7200.0,,0.0
S006-HYG-01,T02,S006,1209.421934,生活卫生用品,10800.0,,0.0
S006-MED-01,T02,S006,1209.421934,医疗物资,3600.0,3600.0,0.0
S006-WAT-01,T02,S006,1209.421934,饮用水,3600.0,3600.0,0.0
S006-WAT-02,T02,S006,1209.421934,饮用水,3600.0,,0.0
S006-WAT-03,T02,S006,1209.421934,饮用水,3600.0,,0.0
S007-FOD-01,T01,S007,1141.352042,应急食品,7200.0,,0.0
S007-HYG-01,T13,S007,7556.548827,生活卫生用品,10800.0,,0.0
S007-MED-01,T14,S007,1171.352042,医疗物资,3600.0,3600.0,0.0
S007-WAT-01,T14,S007,1171.352042,饮用水,3600.0,3600.0,0.0
S007-WAT-02,T01,S007,1141.352042,饮用水,3600.0,,0.0
S008-FOD-01,T12,S008,5658.364316,应急食品,10800.0,,0.0
S008-HYG-01,T12,S008,5658.364316,生活卫生用品,14400.0,,0.0
S008-MED-01,T12,S008,5658.364316,医疗物资,7200.0,7200.0,0.0
S008-WAT-01,T12,S008,5658.364316,饮用水,7200.0,7200.0,0.0
S008-WAT-02,T12,S008,5658.364316,饮用水,7200.0,,0.0
S009-FOD-01,T18,S009,6551.562911,应急食品,14400.0,,0.0
S009-MED-01,T18,S009,6551.562911,医疗物资,10800.0,10800.0,0.0
S009-WAT-01,T18,S009,6551.562911,饮用水,10800.0,10800.0,0.0
