架次编号,航段序号,起点,终点,水平距离_m,起点爬升_m,终点下降_m,航段载重_kg,航段能耗_kWh,航段飞行时间_s,起飞时刻_s,到达时刻_s
T01,1,O01,S007,4534.461,384.27317504882814,163.47317504882812,22.0,1.11141,571.352,360.0,931.352
T01,2,S007,O01,4534.461,163.47317504882812,384.27317504882814,0.0,0.859512,586.072,1141.352,1727.424
T02,1,O01,S006,3186.208,238.39783935546876,51.29783935546874,59.0,1.604045,333.422,480.0,813.422
T02,2,S006,O01,3186.208,51.29783935546874,238.39783935546876,0.0,0.993943,352.132,1209.422,1561.554
T03,1,O01,S012,7390.492,285.6009948730469,133.50099487304686,25.0,1.663788,641.3,390.0,1031.3
T03,2,S012,O01,7390.492,133.50099487304686,285.6009948730469,0.0,1.088627,651.44,1271.3,1922.74
T04,1,O01,S001,3053.979,145.3566101074219,89.05661010742188,75.0,1.917831,306.27,510.0,816.27
T04,2,S001,O01,3053.979,89.05661010742188,145.3566101074219,0.0,0.963246,311.9,1248.27,1560.169
T05,1,O01,S002,7411.31,181.25425415039064,89.45425415039062,65.0,3.857802,611.316,2040.169,2651.485
T05,2,S002,O01,7411.31,89.45425415039062,181.25425415039064,0.0,2.304069,620.496,3047.485,3667.981
T06,1,O01,S001,3053.979,145.3566101074219,89.05661010742188,79.0,2.074451,306.27,2101.554,2407.823
T06,2,S001,O01,3053.979,89.05661010742188,145.3566101074219,0.0,0.963246,311.9,2875.823,3187.723
T07,1,O01,S004,7714.696,270.53916625976564,169.9391662597656,59.0,3.734222,707.498,3667.723,4375.221
T07,2,S004,O01,7714.696,169.9391662597656,270.53916625976564,0.0,2.418711,717.558,4771.221,5488.78
T08,1,O01,S014,5419.602,464.2473876953125,240.9473876953125,25.0,1.306885,612.435,390.0,1002.435
T08,2,S014,O01,5419.602,240.9473876953125,464.2473876953125,0.0,0.833504,627.322,1242.435,1869.756
T09,1,O01,S013,4849.242,271.48182373046876,47.48182373046876,25.0,1.12033,432.769,2259.756,2692.526
T09,2,S013,O01,4849.242,47.48182373046876,271.48182373046876,0.0,0.70443,447.703,2932.526,3380.229
T10,1,O01,S010,4784.495,307.93653564453126,84.03653564453123,25.0,1.119023,455.226,2312.74,2767.967
T10,2,S010,O01,4784.495,84.03653564453123,307.93653564453126,0.0,0.704173,470.153,3007.967,3478.12
T11,1,O01,S002,7411.31,181.25425415039064,89.45425415039062,16.0,1.32647,590.287,3823.925,4414.212
T11,2,S002,O01,7411.31,89.45425415039062,181.25425415039064,0.0,1.080765,596.407,4624.212,5220.619
T12,1,O01,S011,2808.074,167.66175537109376,83.26175537109376,70.0,1.633669,295.901,4207.981,4503.882
T12,2,S011,S008,5327.212,200.81650390625,142.01650390625002,45.0,2.208271,506.482,4791.882,5298.364
T12,3,S008,O01,8079.033,102.00933227539065,245.20933227539064,0.0,2.512843,702.011,5658.364,6360.375
T13,1,O01,S003,7263.179,434.10413818359376,223.30413818359375,62.0,3.749317,769.506,5968.78,6738.285
T13,2,S003,S007,2734.262,72.1993408203125,62.1993408203125,6.0,0.87146,242.264,7098.285,7340.549
T13,3,S007,O01,4534.461,163.47317504882812,384.27317504882814,0.0,1.438466,559.823,7556.549,8116.372
T14,1,O01,S007,4534.461,384.27317504882814,163.47317504882812,20.0,1.083409,571.352,390.0,961.352
T14,2,S007,S005,4687.969,168.6478271484375,322.1478271484375,3.0,0.897504,575.739,1171.352,1747.091
T14,3,S005,O01,5280.607,131.410888671875,198.710888671875,0.0,0.985324,563.339,1927.091,2490.43
T15,1,O01,S003,7263.179,434.10413818359376,223.30413818359375,25.0,1.687386,718.235,4172.12,4890.355
T15,2,S003,O01,7263.179,223.30413818359375,434.10413818359376,0.0,1.092531,732.288,5130.355,5862.643
T16,1,O01,S005,5280.607,198.710888671875,131.410888671875,56.0,2.467894,497.23,6810.375,7307.605
T16,2,S005,O01,5280.607,131.410888671875,198.710888671875,0.0,1.659567,503.96,7667.605,8171.565
T17,1,O01,S009,5705.145,165.52891235351564,63.228912353515625,25.0,1.265658,460.811,5610.619,6071.43
T17,2,S009,O01,5705.145,63.228912353515625,165.52891235351564,0.0,0.830575,467.631,6311.43,6779.061
T18,1,O01,S015,6009.383,444.09925537109376,97.29925537109375,25.0,1.425033,587.578,6252.643,6840.222
T18,2,S015,O01,6009.383,97.29925537109375,444.09925537109376,0.0,0.88242,610.698,7080.222,7690.92
