架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,总质量_kg,总体积_m3,货箱编号列表
T01,U07,C,C-B1,0.0,S001,1626.169077,2.917582,0.635302,3249.680952,76.0,0.195,"S001-MED-02,S001-FOD-03,S001-WAT-05,S001-WAT-08,S001-MED-01,S001-WAT-01,S001-WAT-07,S001-HYG-01"
T02,U05,B,B-B1,0.0,S014,1869.756416,2.140388,0.464903,3463.924759,25.0,0.067,"S014-WAT-01,S014-MED-01,S014-FOD-01"
T03,U06,B,B-B2,0.0,S010,1555.379566,1.823196,0.544201,3012.097702,25.0,0.067,"S010-WAT-01,S010-FOD-01,S010-MED-01"
T04,U06,B,B-B3,1555.379566,S013,3065.851891,1.824759,0.54381,4523.247576,25.0,0.067,"S013-WAT-01,S013-MED-01,S013-FOD-01"
T05,U08,C,C-B2,0.0,S001,1560.169077,2.995769,0.625529,3204.856586,78.0,0.199,"S001-WAT-06,S001-FOD-01,S001-WAT-02,S001-HYG-02,S001-FOD-02,S001-WAT-03,S001-WAT-04"
T06,U05,B,B-B4,1869.756416,S012,3792.496767,2.752414,0.311896,5651.876296,25.0,0.067,"S012-WAT-01,S012-MED-01,S012-FOD-01"
T07,U06,B,B-B2,3065.851891,S009-S002,5094.316598,2.498828,0.375293,6843.808655,19.0,0.068,"S009-MED-01,S002-FOD-02,S002-FOD-01"
T08,U05,B,B-B1,3792.496767,S015,5620.773404,2.307453,0.423137,7287.336295,25.0,0.067,"S015-MED-01,S015-FOD-01,S015-WAT-01"
T09,U01,A,A-B1,0.0,S007,1727.424085,1.905343,0.57659,2777.856509,17.0,0.039,"S007-WAT-01,S007-MED-01"
T10,U08,C,C-B3,1560.169077,S002,3667.981462,6.16187,0.229766,6170.15468,65.0,0.155,"S002-MED-01,S002-WAT-04,S002-HYG-01,S002-WAT-01,S002-WAT-03,S002-WAT-02"
T11,U07,C,C-B4,1626.169077,S006,3187.722945,2.597988,0.675252,4724.677992,59.0,0.156,"S006-MED-01,S006-WAT-01,S006-FOD-01,S006-WAT-02,S006-WAT-03,S006-HYG-01"
T12,U07,C,C-B2,3204.856586,S004,5505.913278,6.152932,0.230883,8005.6657,59.0,0.156,"S004-WAT-02,S004-HYG-01,S004-WAT-01,S004-WAT-03,S004-MED-01,S004-FOD-01"
T13,U08,C,C-B1,3667.981462,S011-S008,6360.374923,6.354783,0.205652,8914.795441,70.0,0.196,"S011-FOD-01,S011-WAT-01,S011-MED-01,S008-MED-01,S008-HYG-01,S008-FOD-01,S008-WAT-01,S008-WAT-02"
T14,U06,B,B-B3,5094.316598,S003,7174.839902,2.779917,0.305021,9046.137471,25.0,0.067,"S003-WAT-01,S003-FOD-02,S003-MED-01"
T15,U05,B,B-B4,5651.876296,S009,7150.31803,2.00023,0.499943,8683.750834,22.0,0.055,"S009-WAT-01,S009-FOD-01"
T16,U07,C,C-B4,5505.913278,S003-S007,8133.505697,6.059243,0.242595,10607.883919,62.0,0.179,"S003-HYG-01,S003-WAT-03,S003-FOD-01,S003-WAT-02,S003-WAT-04,S007-HYG-01"
T17,U08,C,C-B3,6360.374923,S005,8237.565447,4.222193,0.472226,10214.409347,59.0,0.156,"S005-HYG-01,S005-FOD-01,S005-WAT-01,S005-WAT-03,S005-WAT-02,S005-MED-01"
T18,U02,A,A-B2,0.0,S007,1727.424085,1.970922,0.562017,2796.801665,22.0,0.055,"S007-WAT-02,S007-FOD-01"
