方案,架次编号,航段序号,起点,起点经度_度,起点纬度_度,起点作业海拔_m,终点,终点经度_度,终点纬度_度,终点作业海拔_m,水平距离_m,航段DEM最高海拔_m,计划巡航海拔_m,起点爬升_m,终点下降_m,航段载重_kg,航段能耗_kWh,航段飞行时间_s,起飞时刻_s,到达时刻_s
时间优先(主方案),T01,1,O01,109.2308517,23.0085095,128.7255401611328,S007,109.1928191,23.0294186,344.2220458984375,4534.461,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,22.0,1.11141,571.352,360.0,931.352
时间优先(主方案),T01,2,S007,109.1928191,23.0294186,344.2220458984375,O01,109.2308517,23.0085095,128.7255401611328,4534.461,461.9731750488281,511.9731750488281,163.47317504882812,384.27317504882814,0.0,0.859512,586.072,1141.352,1727.424
时间优先(主方案),T02,1,O01,109.2308517,23.0085095,128.7255401611328,S001,109.2432319,23.0335927,183.96136474609375,3053.979,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,20.0,0.691036,338.573,390.0,728.573
时间优先(主方案),T02,2,S001,109.2432319,23.0335927,183.96136474609375,O01,109.2308517,23.0085095,128.7255401611328,3053.979,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,0.0,0.57331,342.326,968.573,1310.9
时间优先(主方案),T03,1,O01,109.2308517,23.0085095,128.7255401611328,S013,109.2713839,23.0310882,351.70806884765625,4849.242,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876,25.0,1.12033,432.769,390.0,822.769
时间优先(主方案),T03,2,S013,109.2713839,23.0310882,351.70806884765625,O01,109.2308517,23.0085095,128.7255401611328,4849.242,349.18182373046875,399.18182373046875,47.48182373046876,271.48182373046876,0.0,0.70443,447.703,1062.769,1510.472
时间优先(主方案),T04,1,O01,109.2308517,23.0085095,128.7255401611328,S006,109.1997836,23.007714,305.1272277832031,3186.208,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,59.0,1.604045,333.422,480.0,813.422
时间优先(主方案),T04,2,S006,109.1997836,23.007714,305.1272277832031,O01,109.2308517,23.0085095,128.7255401611328,3186.208,316.09783935546875,366.09783935546875,51.29783935546874,238.39783935546876,0.0,0.993943,352.132,1209.422,1561.554
时间优先(主方案),T05,1,O01,109.2308517,23.0085095,128.7255401611328,S001,109.2432319,23.0335927,183.96136474609375,3053.979,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,68.0,1.701537,306.27,480.0,786.27
时间优先(主方案),T05,2,S001,109.2432319,23.0335927,183.96136474609375,O01,109.2308517,23.0085095,128.7255401611328,3053.979,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,0.0,0.963246,311.9,1182.27,1494.169
