K,任务组,中继架次,实体机,能源组件,悬停点,被保障运输架次,本架次保障的全部单元,本架次覆盖服务区
2,G1,RS01,R01,R-B1,西,"T01,T03,T04,T07,T08,T09,T11,T12,T13,T14,T15,T16","U0,U1",S001、S002、S003、S005、S006、S007、S008、S014、S015
2,G1,RS02,R02,R-B2,东,"T01,T02,T05,T06,T08,T10,T12,T16,T17","U0,U3,U4,U5,U6",S001、S002、S005、S008、S009、S010、S013、S014
2,G1,RS03,R01,R-B3,北,"T17,T18,T19,T20,T21","U0,U2,U3",S001、S002、S004、S005、S008、S009、S011、S014
2,G1,RS04,R02,R-B4,西,T22,U1,S003、S006、S007、S015
2,G2,RS02,R02,R-B2,东,"T01,T02,T05,T06,T08,T10,T12,T16,T17","U0,U3,U4,U5,U6",S012
3,G1,RS01,R01,R-B1,西,"T01,T03,T04,T07,T08,T09,T11,T12,T13,T14,T15,T16","U0,U1",S001、S002、S003、S005、S006、S007、S008、S014、S015
3,G1,RS02,R02,R-B2,东,"T01,T02,T05,T06,T08,T10,T12,T16,T17","U0,U3,U4,U5,U6",S001、S002、S005、S008、S009、S010、S014
3,G1,RS03,R01,R-B3,北,"T17,T18,T19,T20,T21","U0,U2,U3",S001、S002、S004、S005、S008、S009、S011、S014
3,G1,RS04,R02,R-B4,西,T22,U1,S003、S006、S007、S015
3,G2,RS02,R02,R-B2,东,"T01,T02,T05,T06,T08,T10,T12,T16,T17","U0,U3,U4,U5,U6",S012
3,G3,RS02,R02,R-B2,东,"T01,T02,T05,T06,T08,T10,T12,T16,T17","U0,U3,U4,U5,U6",S013
