K,分区(单元下标),分区(服务区),缺口总数,配置总数,运输架次占用时长CV,需求_A型运输无人机,需求_B型运输无人机,需求_C型运输无人机,需求_A型共享电池,需求_B型共享电池,需求_C型共享电池,需求_中继无人机,需求_中继能源组件
2,"0;1,2,3,4,5,6",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S009、S010、S011、S012、S013、S015,8,38,0.125690738,5,4,2,8,5,4,4,6
2,"0,1;2,3,4,5,6",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S009、S010、S011、S012、S013,11,40,0.397558282,6,4,3,8,5,5,4,5
2,"0,2;1,3,4,5,6",S001、S002、S004、S005、S008、S011、S014 / S003、S006、S007、S009、S010、S012、S013、S015,9,39,0.182283658,5,4,3,7,5,5,4,6
2,"0,3;1,2,4,5,6",S001、S002、S005、S008、S009、S014 / S003、S004、S006、S007、S010、S011、S012、S013、S015,8,38,0.055596376,5,4,2,8,5,4,4,6
2,"0,4;1,2,3,5,6",S001、S002、S005、S008、S010、S014 / S003、S004、S006、S007、S009、S011、S012、S013、S015,7,37,0.055734104,5,4,2,8,4,4,4,6
2,"0,5;1,2,3,4,6",S001、S002、S005、S008、S012、S014 / S003、S004、S006、S007、S009、S010、S011、S013、S015,7,37,0.039211241,5,3,2,8,5,4,4,6
2,"0,6;1,2,3,4,5",S001、S002、S005、S008、S013、S014 / S003、S004、S006、S007、S009、S010、S011、S012、S015,8,38,0.057753907,5,4,2,8,5,4,4,6
2,"0,1,2;3,4,5,6",S001、S002、S003、S004、S005、S006、S007、S008、S011、S014、S015 / S009、S010、S012、S013,5,34,0.705532678,4,4,2,6,5,4,4,5
2,"0,1,3;2,4,5,6",S001、S002、S003、S005、S006、S007、S008、S009、S014、S015 / S004、S010、S011、S012、S013,11,40,0.467652643,6,4,3,8,5,5,4,5
2,"0,1,4;2,3,5,6",S001、S002、S003、S005、S006、S007、S008、S010、S014、S015 / S004、S009、S011、S012、S013,10,39,0.467514916,6,4,3,8,4,5,4,5
2,"0,1,5;2,3,4,6",S001、S002、S003、S005、S006、S007、S008、S012、S014、S015 / S004、S009、S010、S011、S013,10,39,0.484037779,6,3,3,8,5,5,4,5
2,"0,1,6;2,3,4,5",S001、S002、S003、S005、S006、S007、S008、S013、S014、S015 / S004、S009、S010、S011、S012,11,40,0.465495113,6,4,3,8,5,5,4,5
2,"0,2,3;1,4,5,6",S001、S002、S004、S005、S008、S009、S011、S014 / S003、S006、S007、S010、S012、S013、S015,9,38,0.252378019,5,4,3,7,5,5,4,5
2,"0,2,4;1,3,5,6",S001、S002、S004、S005、S008、S010、S011、S014 / S003、S006、S007、S009、S012、S013、S015,8,38,0.252240291,5,4,3,7,4,5,4,6
2,"0,2,5;1,3,4,6",S001、S002、S004、S005、S008、S011、S012、S014 / S003、S006、S007、S009、S010、S013、S015,8,38,0.268763154,5,3,3,7,5,5,4,6
2,"0,2,6;1,3,4,5",S001、S002、S004、S005、S008、S011、S013、S014 / S003、S006、S007、S009、S010、S012、S015,9,39,0.250220489,5,4,3,7,5,5,4,6
2,"0,3,4;1,2,5,6",S001、S002、S005、S008、S009、S010、S014 / S003、S004、S006、S007、S011、S012、S013、S015,7,37,0.014360257,5,4,2,8,4,4,4,6
2,"0,3,5;1,2,4,6",S001、S002、S005、S008、S009、S012、S014 / S003、S004、S006、S007、S010、S011、S013、S015,7,37,0.03088312,5,3,2,8,5,4,4,6
2,"0,3,6;1,2,4,5",S001、S002、S005、S008、S009、S013、S014 / S003、S004、S006、S007、S010、S011、S012、S015,8,38,0.012340455,5,4,2,8,5,4,4,6
2,"0,4,5;1,2,3,6",S001、S002、S005、S008、S010、S012、S014 / S003、S004、S006、S007、S009、S011、S013、S015,7,37,0.030745393,5,3,2,8,5,4,4,6
2,"0,4,6;1,2,3,5",S001、S002、S005、S008、S010、S013、S014 / S003、S004、S006、S007、S009、S011、S012、S015,7,37,0.012202727,5,3,2,8,5,4,4,6
2,"0,5,6;1,2,3,4",S001、S002、S005、S008、S012、S013、S014 / S003、S004、S006、S007、S009、S010、S011、S015,8,38,0.02872559,5,3,2,8,6,4,4,6
2,"0,1,2,3;4,5,6",S001、S002、S003、S004、S005、S006、S007、S008、S009、S011、S014、S015 / S010、S012、S013,4,32,0.775627039,4,4,2,6,5,4,3,4
2,"0,1,2,4;3,5,6",S001、S002、S003、S004、S005、S006、S007、S008、S010、S011、S014、S015 / S009、S012、S013,4,33,0.775489311,4,4,2,6,4,4,4,5
2,"0,1,2,5;3,4,6",S001、S002、S003、S004、S005、S006、S007、S008、S011、S012、S014、S015 / S009、S010、S013,4,33,0.792012174,4,3,2,6,5,4,4,5
2,"0,1,2,6;3,4,5",S001、S002、S003、S004、S005、S006、S007、S008、S011、S013、S014、S015 / S009、S010、S012,5,34,0.773469509,4,4,2,6,5,4,4,5
2,"0,1,3,4;2,5,6",S001、S002、S003、S005、S006、S007、S008、S009、S010、S014、S015 / S004、S011、S012、S013,10,39,0.537609277,6,4,3,8,4,5,4,5
2,"0,1,3,5;2,4,6",S001、S002、S003、S005、S006、S007、S008、S009、S012、S014、S015 / S004、S010、S011、S013,10,39,0.55413214,6,3,3,8,5,5,4,5
2,"0,1,3,6;2,4,5",S001、S002、S003、S005、S006、S007、S008、S009、S013、S014、S015 / S004、S010、S011、S012,11,40,0.535589475,6,4,3,8,5,5,4,5
2,"0,1,4,5;2,3,6",S001、S002、S003、S005、S006、S007、S008、S010、S012、S014、S015 / S004、S009、S011、S013,9,38,0.553994412,6,3,3,8,4,5,4,5
2,"0,1,4,6;2,3,5",S001、S002、S003、S005、S006、S007、S008、S010、S013、S014、S015 / S004、S009、S011、S012,9,38,0.535451747,6,3,3,8,4,5,4,5
2,"0,1,5,6;2,3,4",S001、S002、S003、S005、S006、S007、S008、S012、S013、S014、S015 / S004、S009、S010、S011,10,39,0.55197461,6,3,3,8,5,5,4,5
2,"0,2,3,4;1,5,6",S001、S002、S004、S005、S008、S009、S010、S011、S014 / S003、S006、S007、S012、S013、S015,8,37,0.322334652,5,4,3,7,4,5,4,5
2,"0,2,3,5;1,4,6",S001、S002、S004、S005、S008、S009、S011、S012、S014 / S003、S006、S007、S010、S013、S015,8,37,0.338857516,5,3,3,7,5,5,4,5
2,"0,2,3,6;1,4,5",S001、S002、S004、S005、S008、S009、S011、S013、S014 / S003、S006、S007、S010、S012、S015,9,38,0.32031485,5,4,3,7,5,5,4,5
2,"0,2,4,5;1,3,6",S001、S002、S004、S005、S008、S010、S011、S012、S014 / S003、S006、S007、S009、S013、S015,8,38,0.338719788,5,3,3,7,5,5,4,6
2,"0,2,4,6;1,3,5",S001、S002、S004、S005、S008、S010、S011、S013、S014 / S003、S006、S007、S009、S012、S015,8,38,0.320177122,5,3,3,7,5,5,4,6
2,"0,2,5,6;1,3,4",S001、S002、S004、S005、S008、S011、S012、S013、S014 / S003、S006、S007、S009、S010、S015,9,39,0.336699985,5,3,3,7,6,5,4,6
2,"0,3,4,5;1,2,6",S001、S002、S005、S008、S009、S010、S012、S014 / S003、S004、S006、S007、S011、S013、S015,6,36,0.100839754,5,3,2,8,4,4,4,6
2,"0,3,4,6;1,2,5",S001、S002、S005、S008、S009、S010、S013、S014 / S003、S004、S006、S007、S011、S012、S015,6,36,0.082297088,5,3,2,8,4,4,4,6
2,"0,3,5,6;1,2,4",S001、S002、S005、S008、S009、S012、S013、S014 / S003、S004、S006、S007、S010、S011、S015,7,37,0.098819951,5,3,2,8,5,4,4,6
2,"0,4,5,6;1,2,3",S001、S002、S005、S008、S010、S012、S013、S014 / S003、S004、S006、S007、S009、S011、S015,8,38,0.098682224,5,3,2,8,6,4,4,6
2,"0,1,2,3,4;5,6",S001、S002、S003、S004、S005、S006、S007、S008、S009、S010、S011、S014、S015 / S012、S013,3,31,0.845583672,4,4,2,6,4,4,3,4
2,"0,1,2,3,5;4,6",S001、S002、S003、S004、S005、S006、S007、S008、S009、S011、S012、S014、S015 / S010、S013,3,31,0.862106535,4,3,2,6,5,4,3,4
2,"0,1,2,3,6;4,5",S001、S002、S003、S004、S005、S006、S007、S008、S009、S011、S013、S014、S015 / S010、S012,4,32,0.84356387,4,4,2,6,5,4,3,4
2,"0,1,2,4,5;3,6",S001、S002、S003、S004、S005、S006、S007、S008、S010、S011、S012、S014、S015 / S009、S013,3,32,0.861968808,4,3,2,6,4,4,4,5
2,"0,1,2,4,6;3,5",S001、S002、S003、S004、S005、S006、S007、S008、S010、S011、S013、S014、S015 / S009、S012,3,32,0.843426142,4,3,2,6,4,4,4,5
2,"0,1,2,5,6;3,4",S001、S002、S003、S004、S005、S006、S007、S008、S011、S012、S013、S014、S015 / S009、S010,4,33,0.859949005,4,3,2,6,5,4,4,5
2,"0,1,3,4,5;2,6",S001、S002、S003、S005、S006、S007、S008、S009、S010、S012、S014、S015 / S004、S011、S013,9,38,0.624088774,6,3,3,8,4,5,4,5
2,"0,1,3,4,6;2,5",S001、S002、S003、S005、S006、S007、S008、S009、S010、S013、S014、S015 / S004、S011、S012,9,38,0.605546108,6,3,3,8,4,5,4,5
