K,分区(单元下标),分区(服务区),缺口总数,配置总数,运输架次占用时长CV,需求_A型运输无人机,需求_B型运输无人机,需求_C型运输无人机,需求_A型共享电池,需求_B型共享电池,需求_C型共享电池,需求_中继无人机,需求_中继能源组件
3,"0;1;2,3,4,5,6",S001、S002、S005、S008、S014 / S003、S006、S007、S015 / S004、S009、S010、S011、S012、S013,16,46,0.225514267,7,5,3,9,6,5,5,6
3,"0;1,2;3,4,5,6",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S011、S015 / S009、S010、S012、S013,13,43,0.395657734,5,5,2,8,6,4,6,7
3,"0;1,3;2,4,5,6",S001、S002、S005、S008、S014 / S003、S006、S007、S009、S015 / S004、S010、S011、S012、S013,20,50,0.223383239,7,5,3,9,7,5,6,8
3,"0;1,4;2,3,5,6",S001、S002、S005、S008、S014 / S003、S006、S007、S010、S015 / S004、S009、S011、S012、S013,17,47,0.223355096,7,5,3,9,5,5,6,7
3,"0;1,5;2,3,4,6",S001、S002、S005、S008、S014 / S003、S006、S007、S012、S015 / S004、S009、S010、S011、S013,16,46,0.227600358,7,4,3,9,5,5,6,7
3,"0;1,6;2,3,4,5",S001、S002、S005、S008、S014 / S003、S006、S007、S013、S015 / S004、S009、S010、S011、S012,17,47,0.222956617,7,5,3,9,5,5,6,7
3,"0;1,2,3;4,5,6",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S009、S011、S015 / S010、S012、S013,13,43,0.469414779,5,5,2,8,7,4,5,7
3,"0;1,2,4;3,5,6",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S010、S011、S015 / S009、S012、S013,13,43,0.469265822,5,5,2,8,5,4,6,8
3,"0;1,2,5;3,4,6",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S011、S012、S015 / S009、S010、S013,12,42,0.487227557,5,4,2,8,5,4,6,8
3,"0;1,2,6;3,4,5",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S011、S013、S015 / S009、S010、S012,13,43,0.467082887,5,5,2,8,5,4,6,8
3,"0;1,3,4;2,5,6",S001、S002、S005、S008、S014 / S003、S006、S007、S009、S010、S015 / S004、S011、S012、S013,19,49,0.252272833,7,5,3,9,6,5,6,8
3,"0;1,3,5;2,4,6",S001、S002、S005、S008、S014 / S003、S006、S007、S009、S012、S015 / S004、S010、S011、S013,18,48,0.262736531,7,4,3,9,6,5,6,8
3,"0;1,3,6;2,4,5",S001、S002、S005、S008、S014 / S003、S006、S007、S009、S013、S015 / S004、S010、S011、S012,19,49,0.251075698,7,5,3,9,6,5,6,8
3,"0;1,4,5;2,3,6",S001、S002、S005、S008、S014 / S003、S006、S007、S010、S012、S015 / S004、S009、S011、S013,17,47,0.262644589,7,5,3,9,5,5,6,7
3,"0;1,4,6;2,3,5",S001、S002、S005、S008、S014 / S003、S006、S007、S010、S013、S015 / S004、S009、S011、S012,16,46,0.250994747,7,4,3,9,5,5,6,7
3,"0;1,5,6;2,3,4",S001、S002、S005、S008、S014 / S003、S006、S007、S012、S013、S015 / S004、S009、S010、S011,17,47,0.261305032,7,5,3,9,5,5,6,7
3,"0;1,2,3,4;5,6",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S009、S010、S011、S015 / S012、S013,12,42,0.546558598,5,5,2,8,6,4,5,7
3,"0;1,2,3,5;4,6",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S009、S011、S012、S015 / S010、S013,11,41,0.565138089,5,4,2,8,6,4,5,7
3,"0;1,2,3,6;4,5",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S009、S011、S013、S015 / S010、S012,12,42,0.544295492,5,5,2,8,6,4,5,7
3,"0;1,2,4,5;3,6",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S010、S011、S012、S015 / S009、S013,13,43,0.564982748,5,5,2,8,5,4,6,8
3,"0;1,2,4,6;3,5",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S010、S011、S013、S015 / S009、S012,12,42,0.54414124,5,4,2,8,5,4,6,8
3,"0;1,2,5,6;3,4",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S011、S012、S013、S015 / S009、S010,13,43,0.56270552,5,5,2,8,5,4,6,8
3,"0;1,3,4,5;2,6",S001、S002、S005、S008、S014 / S003、S006、S007、S009、S010、S012、S015 / S004、S011、S013,18,48,0.317681348,7,5,3,9,5,5,6,8
3,"0;1,3,4,6;2,5",S001、S002、S005、S008、S014 / S003、S006、S007、S009、S010、S013、S015 / S004、S011、S012,17,47,0.301725724,7,4,3,9,5,5,6,8
3,"0;1,3,5,6;2,4",S001、S002、S005、S008、S014 / S003、S006、S007、S009、S012、S013、S015 / S004、S010、S011,18,48,0.315903226,7,5,3,9,5,5,6,8
3,"0;1,4,5,6;2,3",S001、S002、S005、S008、S014 / S003、S006、S007、S010、S012、S013、S015 / S004、S009、S011,18,48,0.315782319,7,5,3,9,6,5,6,7
3,"0;1,2,3,4,5;6",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S009、S010、S011、S012、S015 / S013,11,41,0.644908187,5,5,2,8,5,4,5,7
3,"0;1,2,3,4,6;5",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S009、S010、S011、S013、S015 / S012,10,40,0.623611694,5,4,2,8,5,4,5,7
3,"0;1,2,3,5,6;4",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S009、S011、S012、S013、S015 / S010,11,41,0.64258372,5,5,2,8,5,4,5,7
3,"0;1,2,4,5,6;3",S001、S002、S005、S008、S014 / S003、S004、S006、S007、S010、S011、S012、S013、S015 / S009,14,44,0.642425258,5,5,2,8,6,4,6,8
3,"0;1,3,4,5,6;2",S001、S002、S005、S008、S014 / S003、S006、S007、S009、S010、S012、S013、S015 / S004、S011,15,45,0.382025782,7,4,3,9,5,5,5,7
3,"0,1;2;3,4,5,6",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S011 / S009、S010、S012、S013,12,42,0.775271751,6,4,3,8,5,5,5,6
3,"0,1;2,3;4,5,6",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S009、S011 / S010、S012、S013,14,44,0.780920144,6,5,3,8,6,5,5,6
3,"0,1;2,4;3,5,6",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S010、S011 / S009、S012、S013,15,45,0.780899832,6,5,3,8,5,5,6,7
3,"0,1;2,5;3,4,6",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S011、S012 / S009、S010、S013,14,44,0.783592031,6,4,3,8,5,5,6,7
3,"0,1;2,6;3,4,5",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S011、S013 / S009、S010、S012,15,45,0.780606078,6,5,3,8,5,5,6,7
3,"0,1;2,3,4;5,6",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S009、S010、S011 / S012、S013,13,43,0.795804768,6,5,3,8,5,5,5,6
3,"0,1;2,3,5;4,6",S001、S002、S003、S005、S006、S007、S008、S014、S015 / S004、S009、S011、S012 / S010、S013,12,42,0.800619529,6,4,3,8,5,5,5,6
