货箱编号,交付时刻_s
S001-FOD-01,3544.712131
S001-FOD-02,1032.269539
S001-FOD-03,2219.573084
S001-HYG-01,7646.957148
S001-HYG-02,7646.957148
S001-MED-01,968.573084
S001-MED-02,968.573084
S001-WAT-01,968.573084
S001-WAT-02,2780.673437
S001-WAT-03,2780.673437
S001-WAT-04,3544.712131
S001-WAT-05,2219.573084
S001-WAT-06,3544.712131
S001-WAT-07,3544.712131
S001-WAT-08,2868.982896
S002-FOD-01,1283.808991
S002-FOD-02,1813.9464
S002-HYG-01,1813.9464
S002-MED-01,1813.9464
S002-WAT-01,1283.808991
S002-WAT-02,1813.9464
S002-WAT-03,1813.9464
S002-WAT-04,1813.9464
S003-FOD-01,3585.442892
S003-FOD-02,4383.006744
S003-HYG-01,4383.006744
S003-MED-01,4383.006744
S003-WAT-01,3585.442892
S003-WAT-02,4383.006744
S003-WAT-03,4383.006744
S003-WAT-04,4383.006744
S004-FOD-01,6983.046759
S004-HYG-01,7031.184523
S004-MED-01,6983.046759
S004-WAT-01,6983.046759
S004-WAT-02,6983.046759
S004-WAT-03,7031.184523
S005-FOD-01,7085.230262
S005-HYG-01,7085.230262
S005-MED-01,7085.230262
S005-WAT-01,7085.230262
S005-WAT-02,7085.230262
S005-WAT-03,7085.230262
S006-FOD-01,1197.421934
S006-HYG-01,1197.421934
S006-MED-01,965.50243
S006-WAT-01,965.50243
S006-WAT-02,1197.421934
S006-WAT-03,1197.421934
S007-FOD-01,3743.743229
S007-HYG-01,1919.739913
S007-MED-01,1919.739913
S007-WAT-01,1919.739913
S007-WAT-02,1919.739913
S008-FOD-01,4357.142384
S008-HYG-01,4315.651144
S008-MED-01,4357.142384
S008-WAT-01,4315.651144
S008-WAT-02,4357.142384
S009-FOD-01,6118.810867
S009-MED-01,6118.810867
S009-WAT-01,6118.810867
S010-FOD-01,1085.22645
S010-MED-01,1085.22645
S010-WAT-01,1085.22645
S011-FOD-01,6292.900529
S011-MED-01,6292.900529
S011-WAT-01,6292.900529
S012-FOD-01,1271.300175
S012-MED-01,1271.300175
S012-WAT-01,1271.300175
S013-FOD-01,2618.149062
S013-MED-01,2618.149062
S013-WAT-01,2618.149062
S014-FOD-01,3720.304126
S014-MED-01,1272.761572
S014-WAT-01,1272.761572
S015-FOD-01,7056.578319
S015-MED-01,1718.731598
S015-WAT-01,7056.578319
